                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.198,                 7.6142,                0.96778,                0.60233,                0.47959,                 0.4136,                0.32803,                0.84572,                 4.3884,                0.81443,             0.00017271,             0.00017271,             0.00017271
                      2,                 1.0076,                 2.4272,                0.89768,                 0.3244,                0.58141,                0.48351,                0.37321,                0.86931,                 3.5024,                0.83794,               0.000351,               0.000351,               0.000351
                      3,                 1.0292,                 1.9043,                0.90295,                0.67228,                0.43237,                0.48462,                0.39032,                0.84457,                 2.8812,                0.84493,             0.00052569,             0.00052569,             0.00052569
                      4,                 0.9702,                 1.6568,                0.92437,                0.45117,                0.54528,                0.58564,                0.42129,                0.84529,                 2.0062,                0.84869,             0.00069678,             0.00069678,             0.00069678
                      5,                 1.0175,                 1.5924,                0.92088,                0.58541,                0.77631,                0.63109,                0.49509,                0.90693,                 1.3437,                0.87388,             0.00086427,             0.00086427,             0.00086427
                      6,                0.98779,                 1.4003,                0.93375,                0.55106,                0.78253,                 0.6365,                0.45466,                 1.0213,                 1.4896,                0.90858,               0.000864,               0.000864,               0.000864
                      7,                0.99183,                 1.3374,                 0.9141,                0.48416,                0.86795,                0.62226,                0.41311,                0.91342,                 1.8336,                0.86456,               0.000864,               0.000864,               0.000864
                      8,                 1.0244,                 1.3042,                0.91468,                0.74239,                0.63682,                0.64415,                0.42226,                 0.9697,                 1.1941,                0.88658,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.0586,                 1.0716,                0.93342,                0.55505,                0.63914,                0.64525,                0.43503,                0.91324,                 1.1603,                0.89235,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.0242,                  1.017,                0.93283,                0.53886,                0.67513,                0.58163,                0.40891,                0.95667,                 1.1536,                0.88196,             0.00083701,             0.00083701,             0.00083701
                     11,                0.95697,                0.90938,                0.88771,                0.56794,                0.67143,                 0.6514,                0.43215,                 1.0035,                 1.1428,                0.90937,             0.00082801,             0.00082801,             0.00082801
                     12,                0.99504,                0.87927,                0.93355,                0.66618,                0.78091,                  0.715,                0.51139,                0.85961,                 1.0586,                0.87531,             0.00081901,             0.00081901,             0.00081901
                     13,                0.94632,                0.86603,                0.92576,                0.59132,                 0.8859,                0.83083,                0.61532,                0.80848,                0.93753,                0.84975,             0.00081001,             0.00081001,             0.00081001
                     14,                0.92955,                0.79304,                0.91452,                0.81564,                0.64994,                0.78486,                0.53365,                0.84184,                0.96254,                0.86221,             0.00080101,             0.00080101,             0.00080101
                     15,                0.91763,                0.80247,                0.90413,                0.82392,                0.75033,                0.83204,                0.56548,                0.80347,                0.82368,                0.84734,             0.00079201,             0.00079201,             0.00079201
                     16,                0.88538,                0.76188,                 0.8875,                0.77327,                0.84366,                0.84151,                0.56892,                0.86042,                  1.092,                0.86592,             0.00078301,             0.00078301,             0.00078301
                     17,                0.90515,                0.78195,                0.87871,                0.75195,                0.80836,                0.81698,                0.59654,                0.81917,                0.93782,                0.86774,             0.00077401,             0.00077401,             0.00077401
                     18,                0.89017,                0.75389,                0.90111,                0.72139,                0.78145,                0.70207,                0.54711,                0.74264,                 1.0056,                0.83505,             0.00076501,             0.00076501,             0.00076501
                     19,                0.87328,                0.67792,                0.88857,                0.86101,                0.61923,                0.65763,                0.52068,                 0.7377,                0.84566,                 0.8333,             0.00075602,             0.00075602,             0.00075602
                     20,                0.86354,                0.69948,                0.88868,                0.59548,                 0.6204,                0.65085,                0.49803,                0.77167,                0.84459,                0.83613,             0.00074702,             0.00074702,             0.00074702
                     21,                0.85473,                0.67413,                0.90635,                0.66301,                0.77588,                0.69938,                0.53217,                0.72652,                0.82866,                0.82494,             0.00073802,             0.00073802,             0.00073802
                     22,                0.84108,                0.66276,                0.87166,                0.87347,                0.55057,                0.68237,                0.50412,                0.84044,                 0.9671,                0.87601,             0.00072902,             0.00072902,             0.00072902
                     23,                0.88455,                0.64451,                0.88291,                0.59301,                0.60009,                0.61818,                0.47337,                0.71405,                0.94305,                0.83647,             0.00072002,             0.00072002,             0.00072002
                     24,                0.83603,                0.63267,                0.88454,                0.51299,                0.53577,                0.62407,                0.49346,                 0.7811,                0.96423,                0.85233,             0.00071102,             0.00071102,             0.00071102
                     25,                0.84757,                  0.625,                0.88477,                0.47571,                0.76151,                0.66563,                0.52868,                0.77539,                0.93023,                0.84762,             0.00070202,             0.00070202,             0.00070202
