                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2391,                 4.7977,                 1.3014,                0.75255,                0.54635,                0.58698,                0.38264,                 1.1889,                 2.1593,                 1.0967,             0.00029595,             0.00029595,             0.00029595
                      2,                 1.1651,                 2.1736,                 1.2084,                0.55648,                0.56075,                0.51681,                0.39015,                0.86918,                 1.2015,                0.93271,             0.00057523,             0.00057523,             0.00057523
                      3,                 1.1939,                 1.6644,                 1.1817,                0.34897,                0.74231,                0.56024,                0.37561,                0.87384,                 3.2674,                0.97931,             0.00083052,             0.00083052,             0.00083052
                      4,                 1.1988,                 1.5508,                 1.1829,                0.32528,                0.53229,                0.39766,                0.27487,                  1.071,                 2.3986,                  1.071,             0.00080101,             0.00080101,             0.00080101
                      5,                 1.1236,                 1.2781,                  1.169,                0.83645,                0.47149,                0.63158,                0.47242,                0.90359,                 1.0482,                0.97425,             0.00080101,             0.00080101,             0.00080101
                      6,                  1.115,                 1.1478,                  1.163,                0.59571,                0.25222,                0.27304,                0.20289,                 1.0673,                  2.999,                 1.1136,             0.00076501,             0.00076501,             0.00076501
                      7,                  1.062,                 1.0564,                 1.1256,                0.44701,                0.79856,                0.59623,                  0.449,                 0.8511,                0.93937,                0.95807,             0.00072902,             0.00072902,             0.00072902
                      8,                 1.1226,                 1.1085,                 1.1617,                 0.4485,                0.62838,                0.56856,                0.42536,                0.91905,                 1.2694,                0.98677,             0.00069302,             0.00069302,             0.00069302
                      9,                  1.003,                0.94123,                 1.1033,                0.59793,                0.77184,                0.75168,                0.53075,                0.85844,                0.81525,                0.96485,             0.00065703,             0.00065703,             0.00065703
                     10,                0.99215,                0.90308,                 1.0888,                0.52982,                0.86166,                0.64712,                0.49455,                0.78632,                0.79714,                0.95278,             0.00062103,             0.00062103,             0.00062103
                     11,                0.94374,                0.86799,                  1.075,                0.67123,                0.86054,                0.82521,                0.62705,                0.78887,                0.70575,                0.92692,             0.00058503,             0.00058503,             0.00058503
                     12,                0.95024,                0.85302,                 1.0653,                0.79447,                0.84712,                0.81307,                0.61117,                0.79027,                0.63487,                0.92599,             0.00054904,             0.00054904,             0.00054904
                     13,                0.93037,                0.74829,                  1.049,                0.67502,                0.86661,                0.76797,                0.60005,                0.78568,                0.64377,                 0.9271,             0.00051304,             0.00051304,             0.00051304
                     14,                0.93341,                0.71558,                 1.0606,                0.54866,                0.86787,                0.75028,                0.57869,                0.78843,                0.77339,                0.93222,             0.00047704,             0.00047704,             0.00047704
                     15,                 0.9118,                0.70071,                 1.0599,                0.70927,                0.86592,                 0.7986,                 0.6163,                0.78449,                 0.6131,                0.92808,             0.00044105,             0.00044105,             0.00044105
                     16,                0.89826,                0.68304,                 1.0408,                0.73899,                 0.8138,                0.80735,                0.61477,                0.73612,                0.61848,                0.91379,             0.00040505,             0.00040505,             0.00040505
                     17,                0.91006,                  0.646,                 1.0453,                0.79476,                0.86492,                0.85785,                0.66203,                0.79492,                0.58266,                0.94505,             0.00036905,             0.00036905,             0.00036905
                     18,                0.88031,                0.62785,                 1.0243,                0.74295,                0.86737,                0.85193,                0.66183,                0.74596,                0.58596,                0.90945,             0.00033306,             0.00033306,             0.00033306
                     19,                0.88033,                0.59075,                 1.0205,                0.81501,                0.85514,                 0.8389,                0.61856,                0.85856,                 0.5937,                0.96127,             0.00029706,             0.00029706,             0.00029706
                     20,                0.80698,                0.60804,                 1.0005,                0.77359,                  0.739,                0.82146,                0.63961,                 0.7311,                 0.5312,                0.91075,             0.00026106,             0.00026106,             0.00026106
                     21,                0.76491,                0.56005,                 0.9842,                0.84965,                0.82668,                0.84267,                0.65568,                 0.7097,                0.50736,                0.90201,             0.00022507,             0.00022507,             0.00022507
                     22,                0.74107,                0.52424,                0.95902,                0.75915,                0.88671,                0.87997,                0.68792,                0.72801,                0.52012,                0.89874,             0.00018907,             0.00018907,             0.00018907
                     23,                0.73094,                0.50065,                0.97296,                0.66897,                0.91589,                0.87209,                0.65439,                0.74483,                 0.5015,                0.91333,             0.00015308,             0.00015308,             0.00015308
                     24,                0.70612,                0.46828,                0.94716,                0.81308,                0.88588,                0.86147,                0.64812,                0.73553,                0.50073,                0.91075,             0.00011708,             0.00011708,             0.00011708
                     25,                0.68896,                0.44191,                0.93541,                0.82365,                0.86707,                0.85326,                0.64638,                0.70617,                0.48952,                0.89713,             8.1083e-05,             8.1083e-05,             8.1083e-05
