created_time,recived_time,completed_time,num_of_detections,num_of_clasifications
1719663599.973601,1719663599.967268,1719663602.4061272,3,2
1719663602.631743,1719663602.624726,1719663603.1989121,3,2
1719663603.429284,1719663603.419775,1719663604.0214138,3,2
1719663604.252532,1719663604.2451413,1719663604.8562865,3,2
1719663605.089867,1719663605.0829582,1719663605.7279475,3,2
1719663605.965183,1719663605.9594455,1719663606.7517536,4,2
1719663606.978597,1719663606.9718723,1719663607.5559146,3,2
1719663607.797552,1719663607.7880015,1719663608.3560781,3,2
1719663608.579343,1719663608.5718331,1719663609.1441348,3,2
1719663609.377867,1719663609.371357,1719663609.9485295,3,2
1719663610.188233,1719663610.181349,1719663610.7633944,3,2
1719663610.994673,1719663610.9886732,1719663611.5690846,3,2
1719663611.80579,1719663611.7994168,1719663612.4299912,3,2
1719663612.658299,1719663612.651671,1719663613.4361265,4,2
1719663613.654079,1719663613.6490798,1719663614.2554212,3,1
1719663614.501693,1719663614.4943657,1719663615.1045961,3,2
1719663615.334076,1719663615.329063,1719663615.9331398,3,2
1719663616.158792,1719663616.1524677,1719663616.799566,3,2
1719663617.05463,1719663617.04863,1719663617.8379116,4,2
1719663618.066221,1719663618.0612013,1719663618.7263813,3,2
1719663618.945393,1719663618.9403918,1719663619.768274,4,2
1719663619.984874,1719663619.9798741,1719663620.6793702,3,2
1719663620.888118,1719663620.8826082,1719663621.6902747,4,2
1719663621.91958,1719663621.914066,1719663622.5511982,3,2
1719663622.77376,1719663622.7677593,1719663623.395466,3,2
1719663623.613487,1719663623.6069758,1719663624.2924325,3,2
1719663624.516522,1719663624.512019,1719663625.1566153,3,2
1719663625.386325,1719663625.3788228,1719663626.0552151,3,2
1719663626.273834,1719663626.2688324,1719663626.9366286,3,2
1719663627.15519,1719663627.1491895,1719663627.8264802,3,2
1719663628.047937,1719663628.0425417,1719663628.8691227,4,2
1719663629.082087,1719663629.0770793,1719663630.5383942,7,4
1719663630.758505,1719663630.7535312,1719663631.4140432,3,2
1719663631.629325,1719663631.6228056,1719663632.5066886,4,2
1719663632.72407,1719663632.7186832,1719663633.7590473,5,2
1719663633.979034,1719663633.9735239,1719663635.1991496,6,2
1719663635.416335,1719663635.408775,1719663636.9240458,7,2
1719663637.15333,1719663637.1473217,1719663638.4896646,6,2
1719663638.720389,1719663638.7133925,1719663639.5967808,4,2
1719663639.806988,1719663639.8004835,1719663640.8677351,5,2
1719663641.097429,1719663641.0921478,1719663641.7943318,3,2
1719663642.029917,1719663642.0225444,1719663643.4699028,7,2
1719663643.701424,1719663643.6949148,1719663644.994539,6,2
1719663645.221366,1719663645.2156134,1719663646.113894,4,2
1719663646.350888,1719663646.3443763,1719663647.2513964,4,2
1719663647.482465,1719663647.4739513,1719663648.331961,4,2
1719663648.572208,1719663648.563039,1719663649.2655003,3,2
1719663649.495019,1719663649.488019,1719663650.1597152,3,2
1719663650.403738,1719663650.3932848,1719663651.0771132,3,2
1719663651.315427,1719663651.3083093,1719663651.9680402,3,2
1719663652.20546,1719663652.1984618,1719663652.8699598,3,2
1719663653.106995,1719663653.1004925,1719663653.7472122,3,2
1719663653.988478,1719663653.9829683,1719663654.640438,3,2
1719663654.876319,1719663654.8693187,1719663655.7073226,4,2
1719663655.955384,1719663655.9488373,1719663656.6074347,3,2
1719663656.844965,1719663656.8387136,1719663657.4907854,3,2
1719663657.729914,1719663657.7228918,1719663658.3712711,3,2
1719663658.614097,1719663658.6070924,1719663659.249049,3,2
1719663659.494297,1719663659.4874892,1719663660.1385076,3,2
1719663660.37136,1719663660.3648443,1719663661.0199778,3,2
1719663661.261482,1719663661.2549744,1719663661.897853,3,2
1719663662.144727,1719663662.137723,1719663663.01644,4,2
1719663663.282808,1719663663.2734468,1719663664.021644,3,2
1719663664.276382,1719663664.2703815,1719663664.9487326,3,2
1719663665.199482,1719663665.1914642,1719663665.88741,3,2
1719663666.15589,1719663666.1474519,1719663666.8773174,3,2
1719663667.125822,1719663667.1188192,1719663667.8102465,3,2
1719663668.082469,1719663668.0752728,1719663668.7467093,3,2
1719663669.004075,1719663668.9965603,1719663669.7147043,3,2
1719663669.973546,1719663669.9645402,1719663670.65479,3,2
1719663670.917345,1719663670.9093442,1719663671.5827122,3,2
1719663671.833839,1719663671.82933,1719663672.0839453,1,1
1719663672.310829,1719663672.3037283,1719663672.9743445,3,2
1719663673.212129,1719663673.2068243,1719663673.866244,3,2
1719663674.10489,1719663674.1008909,1719663674.3687577,1,1
1719663674.587616,1719663674.581111,1719663675.4174976,4,2
1719663675.668687,1719663675.6620402,1719663676.308961,3,2
1719663676.560547,1719663676.5545173,1719663677.2818513,3,2
1719663677.537174,1719663677.5298066,1719663678.237074,3,2
1719663678.461592,1719663678.4540753,1719663679.125312,3,2
1719663679.372515,1719663679.365492,1719663679.9986968,3,2
1719663680.253761,1719663680.2462504,1719663680.9219437,3,2
1719663681.161916,1719663681.1554058,1719663681.808864,3,2
1719663682.052723,1719663682.0464654,1719663682.7105384,3,2
1719663682.946072,1719663682.9399028,1719663683.587619,3,2
1719663683.814988,1719663683.8089898,1719663684.4462538,3,2
1719663684.682973,1719663684.675936,1719663685.322833,3,2
1719663685.573366,1719663685.5660608,1719663686.2150369,3,2
1719663686.465103,1719663686.458127,1719663687.1228337,3,2
1719663687.374078,1719663687.3665645,1719663688.0144315,3,2
1719663688.256276,1719663688.250275,1719663689.12679,4,2
1719663689.386852,1719663689.378853,1719663690.0644636,3,2
1719663690.317003,1719663690.3090048,1719663691.026432,3,2
1719663691.288038,1719663691.28104,1719663691.9580655,3,2
1719663692.219494,1719663692.210987,1719663692.9093714,3,2
1719663693.160227,1719663693.151902,1719663694.0525615,4,2
1719663694.310458,1719663694.3040447,1719663695.1671443,4,2
1719663695.418974,1719663695.411908,1719663696.0722125,3,2
1719663696.323928,1719663696.317924,1719663696.9399264,3,2
1719663697.181138,1719663697.1760178,1719663698.0136704,4,2
1719663698.249061,1719663698.2409658,1719663698.8549397,3,2
1719663699.112658,1719663699.1061563,1719663699.7373683,3,2
1719663699.978216,1719663699.9692166,1719663700.5933514,3,2
1719663700.840901,1719663700.834193,1719663701.6384082,4,2
1719663701.88062,1719663701.8741126,1719663702.7361372,4,2
1719663702.984094,1719663702.9780715,1719663703.6012187,3,2
1719663703.859501,1719663703.8517962,1719663704.515657,3,2
1719663704.765231,1719663704.758444,1719663705.374339,3,2
1719663705.632852,1719663705.6243174,1719663706.3164964,3,2
1719663706.563526,1719663706.5564969,1719663707.1789916,3,2
1719663707.438315,1719663707.4318128,1719663708.095617,3,2
1719663708.351868,1719663708.3446314,1719663709.200377,4,2
1719663709.450252,1719663709.44374,1719663710.1082563,3,2
1719663710.358286,1719663710.3515978,1719663711.0493307,3,2
1719663711.301422,1719663711.2942853,1719663711.9387672,3,2
1719663712.184834,1719663712.1770456,1719663712.8474174,3,2
1719663713.113348,1719663713.1063218,1719663713.7632484,3,2
1719663714.017484,1719663714.0104847,1719663714.6401083,3,2
1719663714.88758,1719663714.8805823,1719663715.5586832,3,2
1719663715.827675,1719663715.822674,1719663716.2512593,2,1
1719663716.495335,1719663716.4887729,1719663717.124684,3,2
1719663717.40899,1719663717.400943,1719663718.2765102,4,2
1719663718.539812,1719663718.5323007,1719663719.179643,3,2
1719663719.438466,1719663719.4309578,1719663720.3119812,4,2
1719663720.58389,1719663720.5758288,1719663721.2630646,3,2
1719663721.522371,1719663721.5158558,1719663722.168313,3,2
1719663722.42156,1719663722.4138908,1719663723.066294,3,2
1719663723.317329,1719663723.3086011,1719663723.919986,3,2
1719663724.189999,1719663724.1788647,1719663724.875993,3,2
1719663725.13862,1719663725.1285975,1719663726.0335038,4,2
1719663726.308931,1719663726.2989185,1719663726.9730077,3,2
1719663727.229176,1719663727.220672,1719663727.9018593,3,2
1719663728.170973,1719663728.1630714,1719663728.7588751,3,2
1719663729.022124,1719663729.0158756,1719663729.7073162,3,2
1719663729.943668,1719663729.93716,1719663730.5813878,3,2
1719663730.832247,1719663730.825131,1719663731.512861,3,2
1719663731.771851,1719663731.7632308,1719663732.6247516,4,2
1719663732.876217,1719663732.8687077,1719663733.7416236,4,2
1719663733.986947,1719663733.9786003,1719663734.84657,4,2
1719663735.09035,1719663735.0828416,1719663735.7247868,3,2
